source,target,num_edges,timestamp
6283,524,23555,1447819149.106495
1250,5701,23554,1447819158.171678
4446,1086,23553,1447819166.701922
113,1,23552,1447819177.678360
761,3522,23551,1447819186.947582
3520,380,23550,1447819196.221317
4664,863,23549,1447819205.371857
6305,5656,23548,1447819214.799171
1729,1728,23547,1447819223.451070
350,1995,23546,1447819233.762633
6964,5983,23545,1447819243.556232
5581,5081,23544,1447819253.192096
181,4446,23543,1447819262.418477
3251,2366,23542,1447819271.640914
2050,6255,23541,1447819277.339753
2008,3931,23540,1447819286.288531
6453,6559,23539,1447819295.118522
6958,2945,23538,1447819304.576076
6526,5131,23537,1447819314.306423
6215,524,23536,1447819322.700600
3929,621,23535,1447819333.078457
551,4934,23534,1447819338.812891
7321,5468,23533,1447819348.151289
469,3520,23532,1447819358.123878
4934,3929,23531,1447819365.753365
5796,2237,23530,1447819375.009549
6215,6221,23529,1447819384.953964
1894,621,23528,1447819393.053049
6796,6795,23527,1447819403.085005
469,6215,23526,1447819411.734484
5796,4943,23525,1447819419.564495
3604,2838,23524,1447819428.445280
4341,4336,23523,1447819436.701573
4014,1366,23522,1447819446.545466
4378,2834,23521,1447819454.378581
1956,895,23520,1447819463.920635
134,6494,23519,1447819471.897989
1953,6297,23518,1447819482.192824
1,4562,23517,1447819493.321304
1124,4352,23516,1447819502.226086
384,908,23515,1447819510.700378
7183,913,23514,1447819519.036244
5122,2655,23513,1447819528.006172
1894,469,23512,1447819536.458113
5127,843,23511,1447819544.585811
5562,2602,23510,1447819553.120502
2653,5562,23509,1447819560.601004
677,3243,23508,1447819568.272898
5472,4039,23507,1447819578.101808
5583,3712,23506,1447819584.926690
3186,3476,23505,1447819592.604393
7030,3779,23504,1447819601.896651
2855,2854,23503,1447819610.551891
1642,4375,23502,1447819618.771301
6076,738,23501,1447819629.317378
5879,2653,23500,1447819638.542845
1157,4952,23499,1447819645.418926
4952,4446,23498,1447819657.440834
1661,6496,23497,1447819663.531946
6339,4446,23496,1447819673.452645
4352,3712,23495,1447819679.742529
4067,598,23494,1447819690.665736
6339,4951,23493,1447819698.224511
6647,3664,23492,1447819710.046655
6701,4763,23491,1447819718.441743
5179,6824,23490,1447819728.865183
3081,4560,23489,1447819736.258097
6960,4065,23488,1447819747.520169
1,4446,23487,1447819757.340265
2605,5472,23486,1447819766.707741
1377,2855,23485,1447819772.274566
3850,3976,23484,1447819780.894416
3783,3386,23483,1447819789.832757
6962,5983,23482,1447819799.234602
5190,817,23481,1447819808.438086
7123,2265,23480,1447819816.397504
2265,3294,23479,1447819824.271664
1911,6756,23478,1447819833.137662
2251,2021,23477,1447819843.336476
6368,109,23476,1447819852.284568
1960,6693,23475,1447819861.956220
1524,541,23474,1447819872.361141
379,6964,23473,1447819881.517421
6931,6962,23472,1447819891.893759
5804,5131,23471,1447819899.901439
5541,3888,23470,1447819909.632815
5294,3941,23469,1447819920.834005
5879,5114,23468,1447819930.155196
3776,7329,23467,1447819939.496742
4599,5122,23466,1447819946.756476
1590,1589,23465,1447819955.009776
1813,1590,23464,1447819962.300573
4952,4353,23463,1447819969.473000
4953,181,23462,1447819978.970938
2012,5852,23461,1447819991.185512
2655,1964,23460,1447820000.946824
2061,2366,23459,1447820010.079278
1378,3240,23458,1447820019.789471
3661,863,23457,1447820027.352695
3605,1374,23456,1447820035.243897
2855,2336,23455,1447820046.860573
4706,2392,23454,1447820052.811348
3243,2071,23453,1447820061.834193
1307,3187,23452,1447820068.280047
2748,7144,23451,1447820078.014871
2092,2855,23450,1447820085.455249
3779,2369,23449,1447820094.322678
5903,5889,23448,1447820102.674438
2054,5889,23447,1447820110.125014
1348,5839,23446,1447820118.792656
5119,4673,23445,1447820128.440264
1408,6339,23444,1447820137.963850
6425,1156,23443,1447820145.787148
4065,4447,23442,1447820154.510889
6823,723,23441,1447820164.103342
4352,1408,23440,1447820174.006219
350,1093,23439,1447820184.029564
1092,1,23438,1447820194.189581
3785,6075,23437,1447820203.144218
3772,3476,23436,1447820212.686089
4454,3638,23435,1447820219.071864
6824,723,23434,1447820227.876683
4563,4951,23433,1447820236.885610
4601,6337,23432,1447820247.687012
3598,1201,23431,1447820255.256128
4448,4560,23430,1447820264.093194
4952,1,23429,1447820270.637983
4560,1156,23428,1447820278.866890
6128,1161,23427,1447820289.206820
959,6693,23426,1447820298.593332
4896,5081,23425,1447820308.621095
1525,5025,23424,1447820317.264976
7242,6127,23423,1447820327.541875
608,4899,23422,1447820336.380835
6378,11,23421,1447820345.690849
5553,440,23420,1447820354.016708
4171,34,23419,1447820361.866410
3741,5765,23418,1447820372.553635
4324,5765,23417,1447820380.229473
5765,4264,23416,1447820386.998447
4952,598,23415,1447820397.745354
6255,3901,23414,1447820406.540922
6375,1524,23413,1447820412.218042
3742,6066,23412,1447820422.634094
3570,4324,23411,1447820431.801831
6048,1612,23410,1447820439.877697
3521,1228,23409,1447820447.891513
5870,5468,23408,1447820456.639085
5848,5649,23407,1447820466.082243
6825,4000,23406,1447820474.589920
6558,5107,23405,1447820483.171948
5870,759,23404,1447820491.133168
6560,5468,23403,1447820499.952759
2604,677,23402,1447820508.831869
3775,5562,23401,1447820516.701126
5114,1228,23400,1447820526.706620
2242,1227,23399,1447820537.427828
5698,723,23398,1447820543.824576
6824,5120,23397,1447820551.789476
6075,5083,23396,1447820561.262851
5581,6076,23395,1447820571.039412
4882,4164,23394,1447820579.148560
6356,6076,23393,1447820586.845474
3093,6759,23392,1447820595.487841
7186,4817,23391,1447820603.364557
4882,3944,23390,1447820611.553667
5727,4348,23389,1447820620.567905
4514,5405,23388,1447820630.087500
6260,5078,23387,1447820639.222352
1596,539,23386,1447820646.313489
3739,4327,23385,1447820654.051792
7242,3072,23384,1447820663.216663
3521,6453,23383,1447820672.466688
7325,1228,23382,1447820681.568576
1652,3178,23381,1447820691.556673
5575,1816,23380,1447820700.679110
3249,3248,23379,1447820709.451948
1226,4358,23378,1447820716.252794
0,4560,23377,1447820725.685217
3776,677,23376,1447820735.246135
3775,2602,23375,1447820744.358172
7326,7325,23374,1447820754.009208
6558,759,23373,1447820760.876210
3521,2242,23372,1447820769.188326
3776,3775,23371,1447820781.232989
6042,5868,23370,1447820790.976131
7092,5866,23369,1447820799.130114
5474,3250,23368,1447820806.461535
5475,3250,23367,1447820816.083140
5474,3248,23366,1447820827.600137
3838,2044,23365,1447820835.025102
4358,679,23364,1447820841.760492
3833,3243,23363,1447820852.280178
5475,445,23362,1447820859.692144
199,6074,23361,1447820868.569496
1300,4358,23360,1447820876.280721
4895,3185,23359,1447820885.046275
1125,348,23358,1447820894.866705
5563,680,23357,1447820905.897116
4358,680,23356,1447820912.294611
1126,4896,23355,1447820923.030142
738,4898,23354,1447820929.990125
7319,6041,23353,1447820938.486660
5083,1096,23352,1447820949.401011
1097,5024,23351,1447820957.168960
5024,5339,23350,1447820965.571473
6356,5083,23349,1447820972.517510
4923,2496,23348,1447820980.275367
5021,1729,23347,1447820990.058879
6066,1729,23346,1447820997.170895
6696,5943,23345,1447821006.453211
7091,755,23344,1447821015.150896
6134,6040,23343,1447821025.463205
5087,1733,23342,1447821032.858178
4812,1206,23341,1447821042.657789
1733,1732,23340,1447821051.386492
535,602,23339,1447821061.090247
6078,5589,23338,1447821069.529264
6080,5086,23337,1447821078.009193
3607,1738,23336,1447821086.907252
5996,3421,23335,1447821095.484419
4350,5399,23334,1447821104.524745
7,539,23333,1447821113.786676
542,7241,23332,1447821122.801953
1301,6066,23331,1447821130.369567
5583,5081,23330,1447821139.403916
4038,1729,23329,1447821149.551786
2494,1733,23328,1447821156.257503
5085,1732,23327,1447821166.524832
4563,1092,23326,1447821174.929652
3779,3386,23325,1447821185.485364
5086,1731,23324,1447821193.295208
5085,1733,23323,1447821202.099912
5086,3121,23322,1447821210.848428
7219,3644,23321,1447821219.833252
1764,3036,23320,1447821228.617792
3644,91,23319,1447821235.815802
42,7219,23318,1447821245.630560
1555,2991,23317,1447821252.660502
5413,3644,23316,1447821261.744398
5413,6242,23315,1447821270.637993
4025,4853,23314,1447821278.193665
42,90,23313,1447821286.245319
5693,3422,23312,1447821294.065488
6813,1557,23311,1447821302.257310
90,6242,23310,1447821312.320926
6242,1558,23309,1447821323.476198
6979,3418,23308,1447821331.766600
6979,6242,23307,1447821341.227131
1555,42,23306,1447821349.094242
1093,601,23305,1447821356.773540
4956,604,23304,1447821366.550485
503,502,23303,1447821375.485545
6356,4898,23302,1447821383.310536
5020,539,23301,1447821391.395039
5046,4323,23300,1447821399.819404
